One Hot Representation,Full Code,Note,Modifier,Hold/Release
1,10,G,regular,
2,17,R,regular,
3,24,Y,regular,
4,31,B,regular,
5,38,O,regular,
6,1017,GR,regular,
7,1024,GY,regular,
8,1031,GB,regular,
9,1038,GO,regular,
10,1724,RY,regular,
11,1731,RB,regular,
12,1738,RO,regular,
13,2431,YB,regular,
14,2438,YO,regular,
15,3138,BO,regular,
16,101724,GRY,regular,
17,101731,GRB,regular,
18,101738,GRO,regular,
19,102431,GYB,regular,
20,102438,GYO,regular,
21,103138,GBO,regular,
22,172431,RYB,regular,
23,172438,RYO,regular,
24,173138,RBO,regular,
25,243138,YBO,regular,
26,10172431,GRYB,regular,
27,10172438,GRYO,regular,
28,10173138,GRBO,regular,
29,10243138,GYBO,regular,
30,17243138,RYBO,regular,
31,1017243138,GRYBO,regular,
32,11,G,force,
33,18,R,force,
34,25,Y,force,
35,32,B,force,
36,39,O,force,
37,1118,GR,force,
38,1125,GY,force,
39,1132,GB,force,
40,1139,GO,force,
41,1825,RY,force,
42,1832,RB,force,
43,1839,RO,force,
44,2532,YB,force,
45,2539,YO,force,
46,3239,BO,force,
47,111825,GRY,force,
48,111832,GRB,force,
49,111839,GRO,force,
50,112532,GYB,force,
51,112539,GYO,force,
52,113239,GBO,force,
53,182532,RYB,force,
54,182539,RYO,force,
55,183239,RBO,force,
56,253239,YBO,force,
57,11182532,GRYB,force,
58,11182539,GRYO,force,
59,11183239,GRBO,force,
60,11253239,GYBO,force,
61,18253239,RYBO,force,
62,1118253239,GRYBO,force,
63,12,G,tap,
64,19,R,tap,
65,26,Y,tap,
66,33,B,tap,
67,40,O,tap,
68,1219,GR,tap,
69,1226,GY,tap,
70,1233,GB,tap,
71,1240,GO,tap,
72,1926,RY,tap,
73,1933,RB,tap,
74,1940,RO,tap,
75,2633,YB,tap,
76,2640,YO,tap,
77,3340,BO,tap,
78,121926,GRY,tap,
79,121933,GRB,tap,
80,121940,GRO,tap,
81,122633,GYB,tap,
82,122640,GYO,tap,
83,123340,GBO,tap,
84,192633,RYB,tap,
85,192640,RYO,tap,
86,193340,RBO,tap,
