One Hot Representation,Full Code,Note,Modifier,Hold/Release,Simplified One Hot
1,10,G,regular,,1
2,17,R,regular,,2
3,24,Y,regular,,3
4,31,B,regular,,4
5,38,O,regular,,5
6,1017,GR,regular,,6
7,1024,GY,regular,,7
8,1031,GB,regular,,8
9,1038,GO,regular,,9
10,1724,RY,regular,,10
11,1731,RB,regular,,11
12,1738,RO,regular,,12
13,2431,YB,regular,,13
14,2438,YO,regular,,14
15,3138,BO,regular,,15
16,101724,GRY,regular,,16
17,101731,GRB,regular,,17
18,101738,GRO,regular,,18
19,102431,GYB,regular,,19
20,102438,GYO,regular,,20
21,103138,GBO,regular,,21
22,172431,RYB,regular,,22
23,172438,RYO,regular,,23
24,173138,RBO,regular,,24
25,243138,YBO,regular,,25
26,10172431,GRYB,regular,,26
27,10172438,GRYO,regular,,27
28,10173138,GRBO,regular,,28
29,10243138,GYBO,regular,,29
30,17243138,RYBO,regular,,30
31,1017243138,GRYBO,regular,,31
32,11,G,force,,1
33,18,R,force,,2
34,25,Y,force,,3
35,32,B,force,,4
36,39,O,force,,5
37,1118,GR,force,,6
38,1125,GY,force,,7
39,1132,GB,force,,8
40,1139,GO,force,,9
41,1825,RY,force,,10
42,1832,RB,force,,11
43,1839,RO,force,,12
44,2532,YB,force,,13
45,2539,YO,force,,14
46,3239,BO,force,,15
47,111825,GRY,force,,16
48,111832,GRB,force,,17
49,111839,GRO,force,,18
50,112532,GYB,force,,19
51,112539,GYO,force,,20
52,113239,GBO,force,,21
53,182532,RYB,force,,22
54,182539,RYO,force,,23
55,183239,RBO,force,,24
56,253239,YBO,force,,25
57,11182532,GRYB,force,,26
58,11182539,GRYO,force,,27
59,11183239,GRBO,force,,28
60,11253239,GYBO,force,,29
61,18253239,RYBO,force,,30
62,1118253239,GRYBO,force,,31
63,12,G,tap,,1
64,19,R,tap,,2
65,26,Y,tap,,3
66,33,B,tap,,4
67,40,O,tap,,5
68,1219,GR,tap,,6
69,1226,GY,tap,,7
70,1233,GB,tap,,8
71,1240,GO,tap,,9
72,1926,RY,tap,,10
73,1933,RB,tap,,11
74,1940,RO,tap,,12
75,2633,YB,tap,,13
76,2640,YO,tap,,14
77,3340,BO,tap,,15
78,121926,GRY,tap,,16
79,121933,GRB,tap,,17
80,121940,GRO,tap,,18
81,122633,GYB,tap,,19
82,122640,GYO,tap,,20
83,123340,GBO,tap,,21
84,192633,RYB,tap,,22
85,192640,RYO,tap,,23
86,193340,RBO,tap,,24
87,263340,YBO,tap,,25
88,12192633,GRYB,tap,,26
89,12192640,GRYO,tap,,27
90,12193340,GRBO,tap,,28
91,12263340,GYBO,tap,,29
92,19263340,RYBO,tap,,30
93,1219263340,GRYBO,tap,,31
94,13,G,regular,hold,1
95,20,R,regular,hold,2
96,27,Y,regular,hold,3
97,34,B,regular,hold,4
98,41,O,regular,hold,5
99,1320,GR,regular,hold,6
100,1327,GY,regular,hold,7
101,1334,GB,regular,hold,8
102,1341,GO,regular,hold,9
103,2027,RY,regular,hold,10
104,2034,RB,regular,hold,11
105,2041,RO,regular,hold,12
106,2734,YB,regular,hold,13
107,2741,YO,regular,hold,14
108,3441,BO,regular,hold,15
109,132027,GRY,regular,hold,16
110,132034,GRB,regular,hold,17
111,132041,GRO,regular,hold,18
112,132734,GYB,regular,hold,19
113,132741,GYO,regular,hold,20
114,133441,GBO,regular,hold,21
115,202734,RYB,regular,hold,22
116,202741,RYO,regular,hold,23
117,203441,RBO,regular,hold,24
118,273441,YBO,regular,hold,25
119,13202734,GRYB,regular,hold,26
120,13202741,GRYO,regular,hold,27
121,13203441,GRBO,regular,hold,28
122,13273441,GYBO,regular,hold,29
123,20273441,RYBO,regular,hold,30
124,1320273441,GRYBO,regular,hold,31
125,14,G,force,hold,1
126,21,R,force,hold,2
127,28,Y,force,hold,3
128,35,B,force,hold,4
129,42,O,force,hold,5
130,1421,GR,force,hold,6
131,1428,GY,force,hold,7
132,1435,GB,force,hold,8
133,1442,GO,force,hold,9
134,2128,RY,force,hold,10
135,2135,RB,force,hold,11
136,2142,RO,force,hold,12
137,2835,YB,force,hold,13
138,2842,YO,force,hold,14
139,3542,BO,force,hold,15
140,142128,GRY,force,hold,16
141,142135,GRB,force,hold,17
142,142142,GRO,force,hold,18
143,142835,GYB,force,hold,19
144,142842,GYO,force,hold,20
145,143542,GBO,force,hold,21
146,212835,RYB,force,hold,22
147,212842,RYO,force,hold,23
148,213542,RBO,force,hold,24
149,283542,YBO,force,hold,25
150,14212835,GRYB,force,hold,26
151,14212842,GRYO,force,hold,27
152,14213542,GRBO,force,hold,28
153,14283542,GYBO,force,hold,29
154,21283542,RYBO,force,hold,30
155,1421283542,GRYBO,force,hold,31
156,15,G,tap,hold,1
157,22,R,tap,hold,2
158,29,Y,tap,hold,3
159,36,B,tap,hold,4
160,43,O,tap,hold,5
161,1522,GR,tap,hold,6
162,1529,GY,tap,hold,7
163,1536,GB,tap,hold,8
164,1543,GO,tap,hold,9
165,2229,RY,tap,hold,10
166,2236,RB,tap,hold,11
167,2243,RO,tap,hold,12
168,2936,YB,tap,hold,13
169,2943,YO,tap,hold,14
170,3643,BO,tap,hold,15
171,152229,GRY,tap,hold,16
172,152236,GRB,tap,hold,17
173,152243,GRO,tap,hold,18
174,152936,GYB,tap,hold,19
175,152943,GYO,tap,hold,20
176,153643,GBO,tap,hold,21
177,222936,RYB,tap,hold,22
178,222943,RYO,tap,hold,23
179,223643,RBO,tap,hold,24
